id,nome,caminho_rel,sha256,tamanho_kb,processo_citius,confianca,suporte,cluster,ambiguo,streams,obj_stm,js_tags
11,0007_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0007_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_11_alt.pdf,37c045ae3ee9cd67a3553c8daa76f122fa3e5bf6d3f1e993e06e59116a880d16,107.44,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
12,0008_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0008_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14.pdf,117da694baa71c681024de4fa9a3901cce7528472da0f6a247166ceb0c78c7e0,115.04,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,25,0,0
13,0008_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0008_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14.pdf,117da694baa71c681024de4fa9a3901cce7528472da0f6a247166ceb0c78c7e0,115.04,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,25,0,0
14,0009_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0009_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14_alt.pdf,117da694baa71c681024de4fa9a3901cce7528472da0f6a247166ceb0c78c7e0,115.04,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,25,0,0
15,0009_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0009_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_14_alt.pdf,117da694baa71c681024de4fa9a3901cce7528472da0f6a247166ceb0c78c7e0,115.04,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,25,0,0
16,0010_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0010_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4.pdf,e97024b25dadb188e9e6a16f47a292bb50cc35a077515f091ab4997c2b62e557,3782.01,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,15,0,0
17,0010_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0010_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4.pdf,e97024b25dadb188e9e6a16f47a292bb50cc35a077515f091ab4997c2b62e557,3782.01,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,15,0,0
18,0011_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0011_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4_alt.pdf,e97024b25dadb188e9e6a16f47a292bb50cc35a077515f091ab4997c2b62e557,3782.01,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,15,0,0
19,0011_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0011_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_4_alt.pdf,e97024b25dadb188e9e6a16f47a292bb50cc35a077515f091ab4997c2b62e557,3782.01,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,15,0,0
20,0012_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0012_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5.pdf,8dc618ed7e2426085e11d52e549f001af1a99cc60aaa7a177d90417659507238,619.0,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
21,0012_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0012_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5.pdf,8dc618ed7e2426085e11d52e549f001af1a99cc60aaa7a177d90417659507238,619.0,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
22,0013_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0013_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5_alt.pdf,8dc618ed7e2426085e11d52e549f001af1a99cc60aaa7a177d90417659507238,619.0,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,5,0,0
23,0013_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0013_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_5_alt.pdf,8dc618ed7e2426085e11d52e549f001af1a99cc60aaa7a177d90417659507238,619.0,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,5,0,0
24,0014_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0014_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7.pdf,2d2fc09f23b197c0610bf49f00df08f0461088b4b7c07d8d8265061f257cd354,2934.7,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,13,0,0
25,0014_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0014_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7.pdf,2d2fc09f23b197c0610bf49f00df08f0461088b4b7c07d8d8265061f257cd354,2934.7,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,13,0,0
26,0015_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0015_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7_alt.pdf,2d2fc09f23b197c0610bf49f00df08f0461088b4b7c07d8d8265061f257cd354,2934.7,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,13,0,0
27,0015_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0015_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_7_alt.pdf,2d2fc09f23b197c0610bf49f00df08f0461088b4b7c07d8d8265061f257cd354,2934.7,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,13,0,0
28,0016_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0016_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8.pdf,376a5c6f6c3076bf2362f87abf95d7d3cdbb830a5a31aa2123816bfa6521ba3d,6926.28,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,19,0,0
29,0016_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0016_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8.pdf,376a5c6f6c3076bf2362f87abf95d7d3cdbb830a5a31aa2123816bfa6521ba3d,6926.28,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,19,0,0
30,0017_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0017_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8_alt.pdf,376a5c6f6c3076bf2362f87abf95d7d3cdbb830a5a31aa2123816bfa6521ba3d,6926.28,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,19,0,0
31,0017_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0017_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_8_alt.pdf,376a5c6f6c3076bf2362f87abf95d7d3cdbb830a5a31aa2123816bfa6521ba3d,6926.28,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,19,0,0
32,0018_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0018_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9.pdf,5d15f00f3d03361c492d2d9af51de1c74fb43e1b497116ed53bae5b5d2e4e548,2282.32,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,13,0,0
33,0018_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0018_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9.pdf,5d15f00f3d03361c492d2d9af51de1c74fb43e1b497116ed53bae5b5d2e4e548,2282.32,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,13,0,0
34,0019_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0019_2026-08-20_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9_alt.pdf,5d15f00f3d03361c492d2d9af51de1c74fb43e1b497116ed53bae5b5d2e4e548,2282.32,15547/26.0T8LSB,0.58,PARCIAL,N/A,NAO,13,0,0
35,0019_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0019_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547-26-0T8LSB_456900676_9_alt.pdf,5d15f00f3d03361c492d2d9af51de1c74fb43e1b497116ed53bae5b5d2e4e548,2282.32,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,13,0,0
36,0020_2026-08-20_DOCUMENTO_GERAL_15547_26_0T8LSB_456900676_CITA_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0020_2026-08-20_DOCUMENTO_GERAL_15547_26_0T8LSB_456900676_CITA_alt.pdf,c101eae0becc5dca77b59a00cf37cd6fda2c5000722ee55fd20208e97a19484e,138.76,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,22,0,0
37,0020_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547_26_0T8LSB_456900676_CITA_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0020_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547_26_0T8LSB_456900676_CITA_alt.pdf,c101eae0becc5dca77b59a00cf37cd6fda2c5000722ee55fd20208e97a19484e,138.76,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,22,0,0
38,0021_2026-08-20_DOCUMENTO_GERAL_15547_26_0T8LSB_REF_SEMREF_CIT_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0021_2026-08-20_DOCUMENTO_GERAL_15547_26_0T8LSB_REF_SEMREF_CIT_alt.pdf,aa3060b801d766a6748eb402b0e1b87d6ec0e18ba17bfed228fb0da42f3d4f26,9.59,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,3,0,0
39,0021_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547_26_0T8LSB_REF_SEMREF_CIT_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0021_2026-08-20_PROC_15547-26.0T8LSB_DOCUMENTO_GERAL_15547_26_0T8LSB_REF_SEMREF_CIT_alt.pdf,aa3060b801d766a6748eb402b0e1b87d6ec0e18ba17bfed228fb0da42f3d4f26,9.59,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,3,0,0
40,0022_2026-08-20_PECA_JUDICIAL_15547_26_0T8LSB_456900676_CITACAO.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0022_2026-08-20_PECA_JUDICIAL_15547_26_0T8LSB_456900676_CITACAO.pdf,c101eae0becc5dca77b59a00cf37cd6fda2c5000722ee55fd20208e97a19484e,138.76,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,22,0,0
41,0022_2026-08-20_PROC_15547-26.0T8LSB_PECA_JUDICIAL_15547_26_0T8LSB_456900676_CITACAO.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0022_2026-08-20_PROC_15547-26.0T8LSB_PECA_JUDICIAL_15547_26_0T8LSB_456900676_CITACAO.pdf,c101eae0becc5dca77b59a00cf37cd6fda2c5000722ee55fd20208e97a19484e,138.76,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,22,0,0
42,0023_2026-08-20_PECA_JUDICIAL_15547_26_0T8LSB_REF_SEMREF_CITACAO.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0023_2026-08-20_PECA_JUDICIAL_15547_26_0T8LSB_REF_SEMREF_CITACAO.pdf,aa3060b801d766a6748eb402b0e1b87d6ec0e18ba17bfed228fb0da42f3d4f26,9.59,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,3,0,0
43,0023_2026-08-20_PROC_15547-26.0T8LSB_PECA_JUDICIAL_15547_26_0T8LSB_REF_SEMREF_CITACAO.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0023_2026-08-20_PROC_15547-26.0T8LSB_PECA_JUDICIAL_15547_26_0T8LSB_REF_SEMREF_CITACAO.pdf,aa3060b801d766a6748eb402b0e1b87d6ec0e18ba17bfed228fb0da42f3d4f26,9.59,15547/26.0T8LSB,1.0,DOCUMENTADO,N/A,NAO,3,0,0
44,0024_2026-08-21_PROC_15547-26.0T8LSB_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0024_2026-08-21_PROC_15547-26.0T8LSB_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS.pdf,5a7922ddfc4976749fc465342aad47a7915d96ae4f54f9b238ccf31e20f3c02e,86.42,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,16,0,0
45,0024_2026-08-21_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0024_2026-08-21_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS.pdf,5a7922ddfc4976749fc465342aad47a7915d96ae4f54f9b238ccf31e20f3c02e,86.42,N/A,0.0,NAO_INDICIADO,N/A,NAO,16,0,0
46,0025_2026-08-21_PROC_15547-26.0T8LSB_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0025_2026-08-21_PROC_15547-26.0T8LSB_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS_alt.pdf,5a7922ddfc4976749fc465342aad47a7915d96ae4f54f9b238ccf31e20f3c02e,86.42,15547/26.0T8LSB,0.98,DOCUMENTADO,N/A,NAO,16,0,0
47,0025_2026-08-21_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_15547_REIVINDICACAO\0025_2026-08-21_PROVA_DOCUMENTAL_PROC_15547_FACTOS_PROVADOS_alt.pdf,5a7922ddfc4976749fc465342aad47a7915d96ae4f54f9b238ccf31e20f3c02e,86.42,N/A,0.0,NAO_INDICIADO,N/A,NAO,16,0,0
48,0153-24-7T8LSB_Requerimento_004_Unicre.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_10153_UNICRE_SUSPENSO\0153-24-7T8LSB_Requerimento_004_Unicre.pdf,ea5dc29c960f64a52169612f2c0af0328e84cbd513cfce3082d581f521327c3e,124.96,N/A,0.0,NAO_INDICIADO,N/A,NAO,36,4,0
49,0153-24-7T8LSB_Requerimento_005_Unicre.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_10153_UNICRE_SUSPENSO\0153-24-7T8LSB_Requerimento_005_Unicre.pdf,92abd1d2ebca23bb6ddcda2acfaa44cb98b035f22b41e9568bcff0669bcfc1c8,116.64,N/A,0.0,NAO_INDICIADO,N/A,NAO,32,3,0
50,0153-24-7T8LSB_Requerimento_00_alt.pdf,03_RESULTADOS\04_DOCUMENTOS_CITIUS_E_PECAS\ARQUIVO_OFICIAL_TRIBUNAL\PROC_10153_UNICRE_SUSPENSO\0153-24-7T8LSB_Requerimento_00_alt.pdf,92abd1d2ebca23bb6ddcda2acfaa44cb98b035f22b41e9568bcff0669bcfc1c8,116.64,N/A,0.0,NAO_INDICIADO,N/A,NAO,32,3,0
